time,ambientTemperature,surfTemp100mA,newsurfTemp100mA,surfTemp50mA,surfTemp30mA
1,27.9,29.73,29.726,29.7206,29.71
11,27.900171,29.73,29.726,29.7206,29.71
21,27.900342,29.62,29.616,29.6106,29.6
31,27.900513,29.62,29.616,29.6106,29.6
41,27.900684,29.62,29.616,29.6106,29.6
51,27.900855,29.62,29.616,29.6106,29.6
61,27.901026,29.62,29.616,29.6106,29.6
71,27.901197,29.62,29.616,29.6106,29.6
81,27.901368,29.62,29.616,29.6106,29.6
91,27.901539,29.62,29.616,29.6106,29.6
101,27.90171,29.62,29.616,29.6106,29.6
111,27.901881,29.62,29.616,29.6106,29.6
121,27.902052,29.62,29.616,29.6106,29.6
131,27.902223,29.62,29.616,29.6106,29.6
141,27.902394,29.73,29.726,29.7206,29.71
151,27.902565,29.62,29.616,29.6106,29.6
161,27.902736,29.62,29.616,29.6106,29.6
171,27.902907,29.62,29.616,29.6106,29.6
181,27.903078,29.62,29.616,29.6106,29.6
191,27.903249,29.62,29.616,29.6106,29.6
201,27.90342,29.62,29.616,29.6106,29.6
211,27.903591,29.62,29.616,29.6106,29.6
221,27.903762,29.62,29.616,29.6106,29.6
231,27.903933,29.62,29.616,29.6106,29.6
241,27.904104,29.62,29.616,29.6106,29.6
251,27.904275,29.62,29.616,29.6106,29.6
261,27.904446,29.62,29.616,29.6106,29.6
271,27.904617,29.62,29.616,29.6106,29.6
281,27.904788,29.62,29.616,29.6106,29.6
291,27.904959,29.62,29.616,29.6106,29.6
301,27.90513,29.62,29.616,29.6106,29.6
311,27.905301,29.62,29.616,29.6106,29.6
321,27.905472,29.62,29.616,29.6106,29.6
331,27.905643,29.62,29.616,29.6106,29.6
341,27.905814,29.62,29.616,29.6106,29.6
351,27.905985,29.62,29.616,29.6106,29.6
361,27.906156,29.62,29.616,29.6106,29.6
371,27.906327,29.62,29.616,29.6106,29.6
381,27.906498,29.62,29.616,29.6106,29.6
391,27.906669,29.62,29.616,29.6106,29.6
401,27.90684,29.62,29.616,29.6106,29.6
411,27.907011,29.62,29.616,29.6106,29.6
421,27.907182,29.62,29.616,29.6106,29.6
431,27.907353,29.62,29.616,29.6106,29.6
441,27.907524,29.62,29.616,29.6106,29.6
451,27.907695,29.62,29.616,29.6106,29.6
461,27.907866,29.62,29.616,29.6106,29.6
471,27.908037,29.62,29.616,29.6106,29.6
481,27.908208,29.62,29.616,29.6106,29.6
491,27.908379,29.62,29.616,29.6106,29.6
501,27.90855,29.62,29.616,29.6106,29.6
511,27.908721,29.73,29.726,29.7206,29.71
521,27.908892,29.73,29.726,29.7206,29.71
531,27.909063,29.73,29.726,29.7206,29.71
541,27.909234,29.73,29.726,29.7206,29.71
551,27.909405,29.62,29.616,29.6106,29.6
561,27.909576,29.62,29.616,29.6106,29.6
571,27.909747,29.62,29.616,29.6106,29.6
581,27.909918,29.62,29.616,29.6106,29.6
591,27.910089,29.62,29.616,29.6106,29.6
601,27.91026,29.62,29.616,29.6106,29.6
611,27.910431,29.62,29.616,29.6106,29.6
621,27.910602,29.62,29.616,29.6106,29.6
631,27.910773,29.62,29.616,29.6106,29.6
641,27.910944,29.62,29.616,29.6106,29.6
651,27.911115,29.62,29.616,29.6106,29.6
661,27.911286,29.62,29.616,29.6106,29.6
671,27.911457,29.62,29.616,29.6106,29.6
681,27.911628,29.62,29.616,29.6106,29.6
691,27.911799,29.62,29.616,29.6106,29.6
701,27.91197,29.62,29.616,29.6106,29.6
711,27.912141,29.62,29.616,29.6106,29.6
721,27.912312,29.62,29.616,29.6106,29.6
731,27.912483,29.73,29.726,29.7206,29.71
741,27.912654,29.73,29.726,29.7206,29.71
751,27.912825,29.73,29.726,29.7206,29.71
761,27.912996,29.73,29.726,29.7206,29.71
771,27.913167,29.73,29.726,29.7206,29.71
781,27.913338,29.62,29.616,29.6106,29.6
791,27.913509,29.62,29.616,29.6106,29.6
801,27.91368,29.62,29.616,29.6106,29.6
811,27.913851,29.73,29.726,29.7206,29.71
821,27.914022,29.73,29.726,29.7206,29.71
831,27.914193,29.73,29.726,29.7206,29.71
841,27.914364,29.73,29.726,29.7206,29.71
851,27.914535,29.73,29.726,29.7206,29.71
861,27.914706,29.62,29.616,29.6106,29.6
871,27.914877,29.62,29.616,29.6106,29.6
881,27.915048,29.62,29.616,29.6106,29.6
891,27.915219,29.62,29.616,29.6106,29.6
901,27.91539,29.62,29.616,29.6106,29.6
911,27.915561,29.73,29.726,29.7206,29.71
921,27.915732,29.62,29.616,29.6106,29.6
931,27.915903,29.62,29.616,29.6106,29.6
941,27.916074,29.62,29.616,29.6106,29.6
951,27.916245,29.62,29.616,29.6106,29.6
961,27.916416,29.62,29.616,29.6106,29.6
971,27.916587,29.62,29.616,29.6106,29.6
981,27.916758,29.73,29.726,29.7206,29.71
991,27.916929,29.73,29.726,29.7206,29.71
1001,27.9171,29.62,29.616,29.6106,29.6
1011,27.917271,29.62,29.616,29.6106,29.6
1021,27.917442,29.62,29.616,29.6106,29.6
1031,27.917613,29.62,29.616,29.6106,29.6
1041,27.917784,29.62,29.616,29.6106,29.6
1051,27.917955,29.73,29.726,29.7206,29.71
1061,27.918126,29.73,29.726,29.7206,29.71
1071,27.918297,29.62,29.616,29.6106,29.6
1081,27.918468,29.62,29.616,29.6106,29.6
1091,27.918639,29.73,29.726,29.7206,29.71
1101,27.91881,29.73,29.726,29.7206,29.71
1111,27.918981,29.73,29.726,29.7206,29.71
1121,27.919152,29.73,29.726,29.7206,29.71
1131,27.919323,29.73,29.726,29.7206,29.71
1141,27.919494,29.62,29.616,29.6106,29.6
1151,27.919665,29.73,29.726,29.7206,29.71
1161,27.919836,29.73,29.726,29.7206,29.71
1171,27.920007,29.73,29.726,29.7206,29.71
1181,27.920178,29.62,29.616,29.6106,29.6
1191,27.920349,29.62,29.616,29.6106,29.6
1201,27.92052,29.62,29.616,29.6106,29.6
1211,27.920691,29.62,29.616,29.6106,29.6
1221,27.920862,29.62,29.616,29.6106,29.6
1231,27.921033,29.62,29.616,29.6106,29.6
1241,27.921204,29.62,29.616,29.6106,29.6
1251,27.921375,29.62,29.616,29.6106,29.6
1261,27.921546,29.62,29.616,29.6106,29.6
1271,27.921717,29.62,29.616,29.6106,29.6
1281,27.921888,29.62,29.616,29.6106,29.6
1291,27.922059,29.62,29.616,29.6106,29.6
1301,27.92223,29.62,29.616,29.6106,29.6
1311,27.922401,29.73,29.726,29.7206,29.71
1321,27.922572,29.73,29.726,29.7206,29.71
1331,27.922743,29.73,29.726,29.7206,29.71
1341,27.922914,29.73,29.726,29.7206,29.71
1351,27.923085,29.73,29.726,29.7206,29.71
1361,27.923256,29.73,29.726,29.7206,29.71
1371,27.923427,29.73,29.726,29.7206,29.71
1381,27.923598,29.73,29.726,29.7206,29.71
1391,27.923769,29.73,29.726,29.7206,29.71
1401,27.92394,29.62,29.616,29.6106,29.6
1411,27.924111,29.62,29.616,29.6106,29.6
1421,27.924282,29.73,29.726,29.7206,29.71
1431,27.924453,29.73,29.726,29.7206,29.71
1441,27.924624,29.62,29.616,29.6106,29.6
1451,27.924795,29.62,29.616,29.6106,29.6
1461,27.924966,29.73,29.726,29.7206,29.71
1471,27.925137,29.73,29.726,29.7206,29.71
1481,27.925308,29.73,29.726,29.7206,29.71
1491,27.925479,29.73,29.726,29.7206,29.71
1501,27.92565,29.73,29.726,29.7206,29.71
1511,27.925821,29.62,29.616,29.6106,29.6
1521,27.925992,29.62,29.616,29.6106,29.6
1531,27.926163,29.73,29.726,29.7206,29.71
1541,27.926334,29.73,29.726,29.7206,29.71
1551,27.926505,29.73,29.726,29.7206,29.71
1561,27.926676,29.73,29.726,29.7206,29.71
1571,27.926847,29.73,29.726,29.7206,29.71
1581,27.927018,29.73,29.726,29.7206,29.71
1591,27.927189,29.73,29.726,29.7206,29.71
1601,27.92736,29.73,29.726,29.7206,29.71
1611,27.927531,29.73,29.726,29.7206,29.71
1621,27.927702,29.73,29.726,29.7206,29.71
1631,27.927873,29.73,29.726,29.7206,29.71
1641,27.928044,29.73,29.726,29.7206,29.71
1651,27.928215,29.73,29.726,29.7206,29.71
1661,27.928386,29.73,29.726,29.7206,29.71
1671,27.928557,29.73,29.726,29.7206,29.71
1681,27.928728,29.73,29.726,29.7206,29.71
