time,ambientTemperature,surfTemp100mA,surfTemp50mA,surfTemp30mA
1,28.06,30.25,30.24686,30.24359
11,28.06002,29.73,29.72686,29.72359
21,28.06004,29.62,29.61686,29.61359
31,28.06006,29.42,29.41686,29.41359
41,28.06008,29.42,29.41686,29.41359
51,28.0601,29.31,29.30686,29.30359
61,28.06012,29.31,29.30686,29.30359
71,28.06014,29.31,29.30686,29.30359
81,28.06016,29.21,29.20686,29.20359
91,28.06018,29.21,29.20686,29.20359
101,28.0602,29.21,29.20686,29.20359
111,28.06022,29.21,29.20686,29.20359
121,28.06024,29.21,29.20686,29.20359
131,28.06026,29.21,29.20686,29.20359
141,28.06028,29.21,29.20686,29.20359
151,28.0603,29.21,29.20686,29.20359
161,28.06032,29.21,29.20686,29.20359
171,28.06034,29.21,29.20686,29.20359
181,28.06036,29.21,29.20686,29.20359
191,28.06038,29.21,29.20686,29.20359
201,28.0604,29.21,29.20686,29.20359
211,28.06042,29.21,29.20686,29.20359
221,28.06044,29.21,29.20686,29.20359
231,28.06046,29.21,29.20686,29.20359
241,28.06048,29.21,29.20686,29.20359
251,28.0605,29.11,29.10686,29.10359
261,28.06052,29.21,29.20686,29.20359
271,28.06054,29.21,29.20686,29.20359
281,28.06056,29.21,29.20686,29.20359
291,28.06058,29.21,29.20686,29.20359
301,28.0606,29.21,29.20686,29.20359
311,28.06062,29.21,29.20686,29.20359
321,28.06064,29.21,29.20686,29.20359
331,28.06066,29.21,29.20686,29.20359
341,28.06068,29.21,29.20686,29.20359
351,28.0607,29.21,29.20686,29.20359
361,28.06072,29.21,29.20686,29.20359
371,28.06074,29.21,29.20686,29.20359
381,28.06076,29.21,29.20686,29.20359
391,28.06078,29.21,29.20686,29.20359
401,28.0608,29.21,29.20686,29.20359
411,28.06082,29.11,29.10686,29.10359
421,28.06084,29.11,29.10686,29.10359
431,28.06086,29.21,29.20686,29.20359
441,28.06088,29.11,29.10686,29.10359
451,28.0609,29.11,29.10686,29.10359
461,28.06092,29.11,29.10686,29.10359
471,28.06094,29.11,29.10686,29.10359
481,28.06096,29.21,29.20686,29.20359
491,28.06098,29.21,29.20686,29.20359
501,28.061,29.21,29.20686,29.20359
511,28.06102,29.21,29.20686,29.20359
521,28.06104,29.21,29.20686,29.20359
531,28.06106,29.21,29.20686,29.20359
541,28.06108,29.21,29.20686,29.20359
551,28.0611,29.21,29.20686,29.20359
561,28.06112,29.21,29.20686,29.20359
571,28.06114,29.21,29.20686,29.20359
581,28.06116,29.21,29.20686,29.20359
591,28.06118,29.21,29.20686,29.20359
601,28.0612,29.21,29.20686,29.20359
611,28.06122,29.21,29.20686,29.20359
621,28.06124,29.21,29.20686,29.20359
631,28.06126,29.21,29.20686,29.20359
641,28.06128,29.21,29.20686,29.20359
651,28.0613,29.21,29.20686,29.20359
661,28.06132,29.21,29.20686,29.20359
671,28.06134,29.21,29.20686,29.20359
681,28.06136,29.21,29.20686,29.20359
691,28.06138,29.21,29.20686,29.20359
701,28.0614,29.21,29.20686,29.20359
711,28.06142,29.21,29.20686,29.20359
721,28.06144,29.21,29.20686,29.20359
731,28.06146,29.21,29.20686,29.20359
741,28.06148,29.21,29.20686,29.20359
751,28.0615,29.21,29.20686,29.20359
761,28.06152,29.21,29.20686,29.20359
771,28.06154,29.21,29.20686,29.20359
781,28.06156,29.31,29.30686,29.30359
791,28.06158,29.21,29.20686,29.20359
801,28.0616,29.21,29.20686,29.20359
811,28.06162,29.21,29.20686,29.20359
821,28.06164,29.21,29.20686,29.20359
831,28.06166,29.21,29.20686,29.20359
841,28.06168,29.21,29.20686,29.20359
851,28.0617,29.31,29.30686,29.30359
861,28.06172,29.31,29.30686,29.30359
871,28.06174,29.31,29.30686,29.30359
881,28.06176,29.31,29.30686,29.30359
891,28.06178,29.31,29.30686,29.30359
901,28.0618,29.31,29.30686,29.30359
911,28.06182,29.31,29.30686,29.30359
921,28.06184,29.31,29.30686,29.30359
931,28.06186,29.31,29.30686,29.30359
941,28.06188,29.31,29.30686,29.30359
951,28.0619,29.31,29.30686,29.30359
961,28.06192,29.31,29.30686,29.30359
971,28.06194,29.31,29.30686,29.30359
981,28.06196,29.31,29.30686,29.30359
991,28.06198,29.31,29.30686,29.30359
1001,28.062,29.31,29.30686,29.30359
1011,28.06202,29.31,29.30686,29.30359
1021,28.06204,29.31,29.30686,29.30359
1031,28.06206,29.31,29.30686,29.30359
1041,28.06208,29.31,29.30686,29.30359
1051,28.0621,29.31,29.30686,29.30359
1061,28.06212,29.31,29.30686,29.30359
1071,28.06214,29.31,29.30686,29.30359
1081,28.06216,29.31,29.30686,29.30359
1091,28.06218,29.31,29.30686,29.30359
1101,28.0622,29.31,29.30686,29.30359
1111,28.06222,29.31,29.30686,29.30359
1121,28.06224,29.31,29.30686,29.30359
1131,28.06226,29.31,29.30686,29.30359
1141,28.06228,29.31,29.30686,29.30359
1151,28.0623,29.31,29.30686,29.30359
1161,28.06232,29.31,29.30686,29.30359
1171,28.06234,29.31,29.30686,29.30359
1181,28.06236,29.31,29.30686,29.30359
1191,28.06238,29.31,29.30686,29.30359
1201,28.0624,29.31,29.30686,29.30359
1211,28.06242,29.31,29.30686,29.30359
1221,28.06244,29.31,29.30686,29.30359
1231,28.06246,29.31,29.30686,29.30359
1241,28.06248,29.31,29.30686,29.30359
1251,28.0625,29.31,29.30686,29.30359
1261,28.06252,29.31,29.30686,29.30359
1271,28.06254,29.31,29.30686,29.30359
1281,28.06256,29.31,29.30686,29.30359
1291,28.06258,29.31,29.30686,29.30359
1301,28.0626,29.31,29.30686,29.30359
1311,28.06262,29.31,29.30686,29.30359
1321,28.06264,29.31,29.30686,29.30359
1331,28.06266,29.31,29.30686,29.30359
1341,28.06268,29.31,29.30686,29.30359
1351,28.0627,29.31,29.30686,29.30359
1361,28.06272,29.31,29.30686,29.30359
1371,28.06274,29.31,29.30686,29.30359
1381,28.06276,29.31,29.30686,29.30359
1391,28.06278,29.31,29.30686,29.30359
1401,28.0628,29.31,29.30686,29.30359
1411,28.06282,29.31,29.30686,29.30359
1421,28.06284,29.31,29.30686,29.30359
1431,28.06286,29.31,29.30686,29.30359
1441,28.06288,29.31,29.30686,29.30359
1451,28.0629,29.31,29.30686,29.30359
1461,28.06292,29.31,29.30686,29.30359
1471,28.06294,29.31,29.30686,29.30359
1481,28.06296,29.31,29.30686,29.30359
1491,28.06298,29.31,29.30686,29.30359
1501,28.063,29.31,29.30686,29.30359
1511,28.06302,29.31,29.30686,29.30359
1521,28.06304,29.31,29.30686,29.30359
1531,28.06306,29.31,29.30686,29.30359
1541,28.06308,29.31,29.30686,29.30359
1551,28.0631,29.31,29.30686,29.30359
1561,28.06312,29.31,29.30686,29.30359
1571,28.06314,29.31,29.30686,29.30359
1581,28.06316,29.31,29.30686,29.30359
1591,28.06318,29.31,29.30686,29.30359
1601,28.0632,29.31,29.30686,29.30359
1611,28.06322,29.31,29.30686,29.30359
1621,28.06324,29.31,29.30686,29.30359
1631,28.06326,29.31,29.30686,29.30359
1641,28.06328,29.31,29.30686,29.30359
1651,28.0633,29.31,29.30686,29.30359
1661,28.06332,29.31,29.30686,29.30359
1671,28.06334,29.31,29.30686,29.30359
1681,28.06336,29.31,29.30686,29.30359
1691,28.06338,29.31,29.30686,29.30359
1701,28.0634,29.31,29.30686,29.30359
1711,28.06342,29.31,29.30686,29.30359
1721,28.06344,29.31,29.30686,29.30359
1731,28.06346,29.31,29.30686,29.30359
1741,28.06348,29.31,29.30686,29.30359
1751,28.0635,29.31,29.30686,29.30359
1761,28.06352,29.31,29.30686,29.30359
1771,28.06354,29.31,29.30686,29.30359
1781,28.06356,29.31,29.30686,29.30359
1791,28.06358,29.31,29.30686,29.30359
1801,28.0636,29.42,29.41686,29.41359
1811,28.06362,29.42,29.41686,29.41359
1821,28.06364,29.42,29.41686,29.41359
1831,28.06366,29.42,29.41686,29.41359
1841,28.06368,29.42,29.41686,29.41359
1851,28.0637,29.42,29.41686,29.41359
1861,28.06372,29.42,29.41686,29.41359
1871,28.06374,29.42,29.41686,29.41359
1881,28.06376,29.42,29.41686,29.41359
1891,28.06378,29.42,29.41686,29.41359
1901,28.0638,29.42,29.41686,29.41359
1911,28.06382,29.42,29.41686,29.41359
1921,28.06384,29.42,29.41686,29.41359
1931,28.06386,29.42,29.41686,29.41359
1941,28.06388,29.42,29.41686,29.41359
1951,28.0639,29.42,29.41686,29.41359
1961,28.06392,29.42,29.41686,29.41359
1971,28.06394,29.42,29.41686,29.41359
1981,28.06396,29.42,29.41686,29.41359
1991,28.06398,29.42,29.41686,29.41359
2001,28.064,29.42,29.41686,29.41359
2011,28.06402,29.42,29.41686,29.41359
2021,28.06404,29.42,29.41686,29.41359
2031,28.06406,29.42,29.41686,29.41359
2041,28.06408,29.42,29.41686,29.41359
2051,28.0641,29.42,29.41686,29.41359
2061,28.06412,29.42,29.41686,29.41359
2071,28.06414,29.42,29.41686,29.41359
2081,28.06416,29.42,29.41686,29.41359
2091,28.06418,29.42,29.41686,29.41359
2101,28.0642,29.42,29.41686,29.41359
2111,28.06422,29.42,29.41686,29.41359
2121,28.06424,29.42,29.41686,29.41359
2131,28.06426,29.42,29.41686,29.41359
2141,28.06428,29.42,29.41686,29.41359
2151,28.0643,29.42,29.41686,29.41359
2161,28.06432,29.42,29.41686,29.41359
2171,28.06434,29.42,29.41686,29.41359
2181,28.06436,29.42,29.41686,29.41359
2191,28.06438,29.42,29.41686,29.41359
2201,28.0644,29.42,29.41686,29.41359
2211,28.06442,29.42,29.41686,29.41359
2221,28.06444,29.52,29.51686,29.51359
2231,28.06446,29.42,29.41686,29.41359
2241,28.06448,29.42,29.41686,29.41359
