time,ambientTemperature,surfTemp100mA,surfTemp50mA,surfTemp30mA
1,27.1,28.8,28.797,28.792
11,27.10004,28.8,28.797,28.792
21,27.10008,28.8,28.797,28.792
31,27.10012,28.8,28.797,28.792
41,27.10016,28.9,28.897,28.892
51,27.1002,29,28.997,28.992
61,27.10024,29,28.997,28.992
71,27.10028,29,28.997,28.992
81,27.10032,28.8,28.797,28.792
91,27.10036,28.9,28.897,28.892
101,27.1004,28.9,28.897,28.892
111,27.10044,28.9,28.897,28.892
121,27.10048,28.9,28.897,28.892
131,27.10052,28.8,28.797,28.792
141,27.10056,28.8,28.797,28.792
151,27.1006,28.69,28.687,28.682
161,27.10064,28.8,28.797,28.792
171,27.10068,28.8,28.797,28.792
181,27.10072,28.8,28.797,28.792
191,27.10076,28.8,28.797,28.792
201,27.1008,28.69,28.687,28.682
211,27.10084,28.8,28.797,28.792
221,27.10088,28.8,28.797,28.792
231,27.10092,28.8,28.797,28.792
241,27.10096,28.8,28.797,28.792
251,27.101,28.9,28.897,28.892
261,27.10104,29,28.997,28.992
271,27.10108,28.9,28.897,28.892
281,27.10112,28.8,28.797,28.792
291,27.10116,28.9,28.897,28.892
301,27.1012,29,28.997,28.992
311,27.10124,29.21,29.207,29.202
321,27.10128,29.21,29.207,29.202
331,27.10132,29.21,29.207,29.202
341,27.10136,29.11,29.107,29.102
351,27.1014,29.11,29.107,29.102
361,27.10144,29.11,29.107,29.102
371,27.10148,29.11,29.107,29.102
381,27.10152,29.11,29.107,29.102
391,27.10156,29,28.997,28.992
401,27.1016,29.31,29.307,29.302
411,27.10164,20.55,20.547,20.542
421,27.10168,26.95,26.947,26.942
431,27.10172,28.38,28.377,28.372
441,27.10176,23.63,23.627,23.622
451,27.1018,25.23,25.227,25.222
461,27.10184,27.97,27.967,27.962
471,27.10188,29,28.997,28.992
481,27.10192,28.08,28.077,28.072
491,27.10196,27.67,27.667,27.662
501,27.102,28.28,28.277,28.272
511,27.10204,23.93,23.927,23.922
521,27.10208,28.28,28.277,28.272
531,27.10212,28.49,28.487,28.482
541,27.10216,28.9,28.897,28.892
551,27.1022,28.9,28.897,28.892
561,27.10224,24.33,24.327,24.322
571,27.10228,26.14,26.137,26.132
581,27.10232,27.56,27.557,27.552
591,27.10236,27.36,27.357,27.352
601,27.1024,20.55,20.547,20.542
611,27.10244,28.8,28.797,28.792
621,27.10248,27.56,27.557,27.552
631,27.10252,27.36,27.357,27.352
641,27.10256,28.49,28.487,28.482
651,27.1026,27.16,27.157,27.152
661,27.10264,24.83,24.827,24.822
671,27.10268,26.04,26.037,26.032
681,27.10272,26.65,26.647,26.642
691,27.10276,24.73,24.727,24.722
701,27.1028,29.11,29.107,29.102
711,27.10284,28.9,28.897,28.892
721,27.10288,28.8,28.797,28.792
731,27.10292,28.9,28.897,28.892
741,27.10296,28.38,28.377,28.372
751,27.103,24.03,24.027,24.022
761,27.10304,28.8,28.797,28.792
771,27.10308,27.36,27.357,27.352
781,27.10312,28.9,28.897,28.892
791,27.10316,28.8,28.797,28.792
801,27.1032,22.44,22.437,22.432
811,27.10324,27.46,27.457,27.452
821,27.10328,27.46,27.457,27.452
831,27.10332,27.46,27.457,27.452
