time,ambientTemperature,surfTemp100mA,surfTemp50mA,surfTemp30mA
1,27.5,30.35,30.347,30.343
11,27.5002,29.73,29.727,29.723
21,27.5004,29.62,29.617,29.613
31,27.5006,29.62,29.617,29.613
41,27.5008,29.62,29.617,29.613
51,27.501,29.62,29.617,29.613
61,27.5012,29.62,29.617,29.613
71,27.5014,29.62,29.617,29.613
81,27.5016,29.62,29.617,29.613
91,27.5018,29.62,29.617,29.613
101,27.502,29.62,29.617,29.613
111,27.5022,29.62,29.617,29.613
121,27.5024,29.62,29.617,29.613
131,27.5026,29.62,29.617,29.613
141,27.5028,29.73,29.727,29.723
151,27.503,29.62,29.617,29.613
161,27.5032,29.62,29.617,29.613
171,27.5034,29.62,29.617,29.613
181,27.5036,29.62,29.617,29.613
191,27.5038,29.62,29.617,29.613
201,27.504,29.62,29.617,29.613
211,27.5042,29.62,29.617,29.613
221,27.5044,29.62,29.617,29.613
231,27.5046,29.62,29.617,29.613
241,27.5048,29.62,29.617,29.613
251,27.505,29.62,29.617,29.613
261,27.5052,29.62,29.617,29.613
271,27.5054,29.62,29.617,29.613
281,27.5056,29.62,29.617,29.613
291,27.5058,29.62,29.617,29.613
301,27.506,29.62,29.617,29.613
311,27.5062,29.62,29.617,29.613
321,27.5064,29.62,29.617,29.613
331,27.5066,29.62,29.617,29.613
341,27.5068,29.62,29.617,29.613
351,27.507,29.62,29.617,29.613
361,27.5072,29.62,29.617,29.613
371,27.5074,29.62,29.617,29.613
381,27.5076,29.62,29.617,29.613
391,27.5078,29.62,29.617,29.613
401,27.508,29.62,29.617,29.613
411,27.5082,29.62,29.617,29.613
421,27.5084,29.62,29.617,29.613
431,27.5086,29.62,29.617,29.613
441,27.5088,29.62,29.617,29.613
451,27.509,29.62,29.617,29.613
461,27.5092,29.62,29.617,29.613
471,27.5094,29.62,29.617,29.613
481,27.5096,29.62,29.617,29.613
491,27.5098,29.62,29.617,29.613
501,27.51,29.62,29.617,29.613
511,27.5102,29.73,29.727,29.723
521,27.5104,29.73,29.727,29.723
531,27.5106,29.73,29.727,29.723
541,27.5108,29.73,29.727,29.723
551,27.511,29.62,29.617,29.613
561,27.5112,29.62,29.617,29.613
571,27.5114,29.62,29.617,29.613
581,27.5116,29.62,29.617,29.613
591,27.5118,29.62,29.617,29.613
601,27.512,29.62,29.617,29.613
611,27.5122,29.62,29.617,29.613
621,27.5124,29.62,29.617,29.613
631,27.5126,29.62,29.617,29.613
641,27.5128,29.62,29.617,29.613
651,27.513,29.62,29.617,29.613
661,27.5132,29.62,29.617,29.613
671,27.5134,29.62,29.617,29.613
681,27.5136,29.62,29.617,29.613
691,27.5138,29.62,29.617,29.613
701,27.514,29.62,29.617,29.613
711,27.5142,29.62,29.617,29.613
721,27.5144,29.62,29.617,29.613
731,27.5146,29.73,29.727,29.723
741,27.5148,29.73,29.727,29.723
751,27.515,29.73,29.727,29.723
761,27.5152,29.73,29.727,29.723
771,27.5154,29.73,29.727,29.723
781,27.5156,29.62,29.617,29.613
791,27.5158,29.62,29.617,29.613
801,27.516,29.62,29.617,29.613
811,27.5162,29.73,29.727,29.723
821,27.5164,29.73,29.727,29.723
831,27.5166,29.73,29.727,29.723
841,27.5168,29.73,29.727,29.723
851,27.517,29.73,29.727,29.723
861,27.5172,29.62,29.617,29.613
871,27.5174,29.62,29.617,29.613
881,27.5176,29.62,29.617,29.613
891,27.5178,29.62,29.617,29.613
901,27.518,29.62,29.617,29.613
911,27.5182,29.73,29.727,29.723
921,27.5184,29.62,29.617,29.613
931,27.5186,29.62,29.617,29.613
941,27.5188,29.62,29.617,29.613
951,27.519,29.62,29.617,29.613
961,27.5192,29.62,29.617,29.613
971,27.5194,29.62,29.617,29.613
981,27.5196,29.73,29.727,29.723
991,27.5198,29.73,29.727,29.723
1001,27.52,29.62,29.617,29.613
1011,27.5202,29.62,29.617,29.613
1021,27.5204,29.62,29.617,29.613
1031,27.5206,29.62,29.617,29.613
1041,27.5208,29.62,29.617,29.613
1051,27.521,29.73,29.727,29.723
1061,27.5212,29.73,29.727,29.723
1071,27.5214,29.62,29.617,29.613
1081,27.5216,29.62,29.617,29.613
1091,27.5218,29.73,29.727,29.723
1101,27.522,29.73,29.727,29.723
1111,27.5222,29.73,29.727,29.723
1121,27.5224,29.73,29.727,29.723
1131,27.5226,29.73,29.727,29.723
1141,27.5228,29.62,29.617,29.613
1151,27.523,29.73,29.727,29.723
1161,27.5232,29.73,29.727,29.723
1171,27.5234,29.73,29.727,29.723
1181,27.5236,29.62,29.617,29.613
1191,27.5238,29.62,29.617,29.613
1201,27.524,29.62,29.617,29.613
1211,27.5242,29.62,29.617,29.613
1221,27.5244,29.62,29.617,29.613
1231,27.5246,29.62,29.617,29.613
1241,27.5248,29.62,29.617,29.613
1251,27.525,29.62,29.617,29.613
1261,27.5252,29.62,29.617,29.613
1271,27.5254,29.62,29.617,29.613
1281,27.5256,29.62,29.617,29.613
1291,27.5258,29.62,29.617,29.613
1301,27.526,29.62,29.617,29.613
1311,27.5262,29.73,29.727,29.723
1321,27.5264,29.73,29.727,29.723
1331,27.5266,29.73,29.727,29.723
1341,27.5268,29.73,29.727,29.723
1351,27.527,29.73,29.727,29.723
1361,27.5272,29.73,29.727,29.723
1371,27.5274,29.73,29.727,29.723
1381,27.5276,29.73,29.727,29.723
1391,27.5278,29.73,29.727,29.723
1401,27.528,29.62,29.617,29.613
1411,27.5282,29.62,29.617,29.613
1421,27.5284,29.73,29.727,29.723
1431,27.5286,29.73,29.727,29.723
1441,27.5288,29.62,29.617,29.613
1451,27.529,29.62,29.617,29.613
1461,27.5292,29.73,29.727,29.723
1471,27.5294,29.73,29.727,29.723
1481,27.5296,29.73,29.727,29.723
1491,27.5298,29.73,29.727,29.723
1501,27.53,29.73,29.727,29.723
1511,27.5302,29.62,29.617,29.613
1521,27.5304,29.62,29.617,29.613
1531,27.5306,29.73,29.727,29.723
1541,27.5308,29.73,29.727,29.723
1551,27.531,29.73,29.727,29.723
1561,27.5312,29.73,29.727,29.723
1571,27.5314,29.73,29.727,29.723
1581,27.5316,29.73,29.727,29.723
1591,27.5318,29.73,29.727,29.723
1601,27.532,29.73,29.727,29.723
1611,27.5322,29.73,29.727,29.723
1621,27.5324,29.73,29.727,29.723
1631,27.5326,29.73,29.727,29.723
1641,27.5328,29.73,29.727,29.723
1651,27.533,29.73,29.727,29.723
1661,27.5332,29.73,29.727,29.723
1671,27.5334,29.73,29.727,29.723
1681,27.5336,29.73,29.727,29.723
1691,27.5338,29.73,29.727,29.723
1701,27.534,29.73,29.727,29.723
1711,27.5342,29.62,29.617,29.613
1721,27.5344,29.62,29.617,29.613
1731,27.5346,29.73,29.727,29.723
1741,27.5348,29.73,29.727,29.723
1751,27.535,29.73,29.727,29.723
1761,27.5352,29.62,29.617,29.613
1771,27.5354,29.62,29.617,29.613
1781,27.5356,29.62,29.617,29.613
1791,27.5358,29.73,29.727,29.723
1801,27.536,29.62,29.617,29.613
1811,27.5362,29.62,29.617,29.613
1821,27.5364,29.62,29.617,29.613
1831,27.5366,29.62,29.617,29.613
1841,27.5368,29.62,29.617,29.613
1851,27.537,29.62,29.617,29.613
1861,27.5372,29.62,29.617,29.613
1871,27.5374,29.62,29.617,29.613
1881,27.5376,29.62,29.617,29.613
1891,27.5378,29.62,29.617,29.613
1901,27.538,29.62,29.617,29.613
1911,27.5382,29.62,29.617,29.613
1921,27.5384,29.62,29.617,29.613
1931,27.5386,29.73,29.727,29.723
1941,27.5388,29.73,29.727,29.723
1951,27.539,29.62,29.617,29.613
1961,27.5392,29.62,29.617,29.613
1971,27.5394,29.62,29.617,29.613
1981,27.5396,29.62,29.617,29.613
1991,27.5398,29.62,29.617,29.613
2001,27.54,29.62,29.617,29.613
2011,27.5402,29.62,29.617,29.613
2021,27.5404,29.62,29.617,29.613
2031,27.5406,29.62,29.617,29.613
2041,27.5408,29.62,29.617,29.613
2051,27.541,29.73,29.727,29.723
2061,27.5412,29.62,29.617,29.613
2071,27.5414,29.62,29.617,29.613
2081,27.5416,29.62,29.617,29.613
2091,27.5418,29.62,29.617,29.613
2101,27.542,29.62,29.617,29.613
2111,27.5422,29.62,29.617,29.613
2121,27.5424,29.62,29.617,29.613
2131,27.5426,29.62,29.617,29.613
2141,27.5428,29.62,29.617,29.613
2151,27.543,29.62,29.617,29.613
2161,27.5432,29.62,29.617,29.613
2171,27.5434,29.62,29.617,29.613
2181,27.5436,29.62,29.617,29.613
2191,27.5438,29.62,29.617,29.613
2201,27.544,29.62,29.617,29.613
2211,27.5442,29.62,29.617,29.613
2221,27.5444,29.62,29.617,29.613
2231,27.5446,29.62,29.617,29.613
2241,27.5448,29.62,29.617,29.613
2251,27.545,29.62,29.617,29.613
2261,27.5452,29.52,29.517,29.513
2271,27.5454,29.62,29.617,29.613
2281,27.5456,29.62,29.617,29.613
2291,27.5458,29.62,29.617,29.613
2301,27.546,29.62,29.617,29.613
2311,27.5462,29.62,29.617,29.613
2321,27.5464,29.62,29.617,29.613
2331,27.5466,29.62,29.617,29.613
2341,27.5468,29.73,29.727,29.723
2351,27.547,29.62,29.617,29.613
2361,27.5472,29.62,29.617,29.613
2371,27.5474,29.62,29.617,29.613
2381,27.5476,29.62,29.617,29.613
2391,27.5478,29.62,29.617,29.613
2401,27.548,29.62,29.617,29.613
2411,27.5482,29.62,29.617,29.613
2421,27.5484,29.62,29.617,29.613
